Date       , Business Name    , Category                     , Amount
01/01/2024 , Starbucks        , Food & Beverage              , 5.75
02/01/2024 , Amazon           , Retail & Shopping            , 52.99
03/01/2024 , Whole Foods      , Home & Personal Care         , 78.4
04/01/2024 , Shell            , Travel & Transportation      , 40
05/01/2024 , Netflix          , Entertainment & Subscriptions, 15.99
06/01/2024 , Uber             , Travel & Transportation      , 12.5
07/01/2024 , Walmart          , Retail & Shopping            , 45.2
08/01/2024 , Best Buy         , Retail & Shopping            , 299.99
09/01/2024 , Target           , Retail & Shopping            , 65.3
10/01/2024 , Chipotle         , Food & Beverage              , 22.1
01/02/2024 , Spotify          , Entertainment & Subscriptions, 9.99
02/02/2024 , Home Depot       , Home & Personal Care         , 150
03/02/2024 , Dunkin' Donuts   , Food & Beverage              , 4.5
04/02/2024 , Airbnb           , Travel & Transportation      , 120
05/02/2024 , Apple Store      , Retail & Shopping            , 999.99
06/02/2024 , Costco           , Home & Personal Care         , 200
07/02/2024 , Subway           , Food & Beverage              , 8.75
08/02/2024 , CVS              , Home & Personal Care         , 25.6
09/02/2024 , Sephora          , Home & Personal Care         , 35.4
10/02/2024 , Petco            , Home & Personal Care         , 49.99
01/03/2024 , Panera Bread     , Food & Beverage              , 16.2
02/03/2024 , Delta Airlines   , Travel & Transportation      , 250
03/03/2024 , IKEA             , Retail & Shopping            , 130
04/03/2024 , McDonald's       , Food & Beverage              , 7.89
05/03/2024 , Walgreens        , Home & Personal Care         , 13.75
06/03/2024 , Zara             , Retail & Shopping            , 85
07/03/2024 , Trader Joe's     , Retail & Shopping            , 54.3
08/03/2024 , Microsoft        , Entertainment & Subscriptions, 120
09/03/2024 , GameStop         , Entertainment & Subscriptions, 60
10/03/2024 , Marriott         , Travel & Transportation      , 200
01/04/2024 , Starbucks        , Food & Beverage              , 6.00
02/04/2024 , Amazon           , Retail & Shopping            , 75.50
03/04/2024 , Whole Foods      , Home & Personal Care         , 90.0
04/04/2024 , Shell            , Travel & Transportation      , 50
05/04/2024 , Netflix          , Entertainment & Subscriptions, 17.99
06/04/2024 , Uber             , Travel & Transportation      , 15.0
07/04/2024 , Walmart          , Retail & Shopping            , 60.0
08/04/2024 , Best Buy         , Retail & Shopping            , 250.00
09/04/2024 , Target           , Retail & Shopping            , 70.0
10/04/2024 , Chipotle         , Food & Beverage              , 25.0
01/05/2024 , Spotify          , Entertainment & Subscriptions, 11.99
02/05/2024 , Home Depot       , Home & Personal Care         , 120
03/05/2024 , Dunkin' Donuts   , Food & Beverage              , 5.0
04/05/2024 , Airbnb           , Travel & Transportation      , 130
05/05/2024 , Apple Store      , Retail & Shopping            , 1050.00
06/05/2024 , Costco           , Home & Personal Care         , 180
07/05/2024 , Subway           , Food & Beverage              , 9.5
08/05/2024 , CVS              , Home & Personal Care         , 30.0
09/05/2024 , Sephora          , Home & Personal Care         , 40.0
10/05/2024 , Petco            , Home & Personal Care         , 55.0
01/06/2024 , Panera Bread     , Food & Beverage              , 18.0
02/06/2024 , Delta Airlines   , Travel & Transportation      , 300
03/06/2024 , IKEA             , Retail & Shopping            , 140
04/06/2024 , McDonald's       , Food & Beverage              , 8.5
05/06/2024 , Walgreens        , Home & Personal Care         , 15.0
06/06/2024 , Zara             , Retail & Shopping            , 95
07/06/2024 , Trader Joe's     , Retail & Shopping            , 60.0
08/06/2024 , Microsoft        , Entertainment & Subscriptions, 130
09/06/2024 , GameStop         , Entertainment & Subscriptions, 65
10/06/2024 , Marriott         , Travel & Transportation      , 220
01/07/2024 , Starbucks        , Food & Beverage              , 7.00
02/07/2024 , Amazon           , Retail & Shopping            , 80.00
03/07/2024 , Whole Foods      , Home & Personal Care         , 85.0
04/07/2024 , Shell            , Travel & Transportation      , 60
05/07/2024 , Netflix          , Entertainment & Subscriptions, 18.99
06/07/2024 , Uber             , Travel & Transportation      , 18.0
07/07/2024 , Walmart          , Retail & Shopping            , 70.0
08/07/2024 , Best Buy         , Retail & Shopping            , 275.00
09/07/2024 , Target           , Retail & Shopping            , 80.0
10/07/2024 , Chipotle         , Food & Beverage              , 27.0
01/08/2024 , Spotify          , Entertainment & Subscriptions, 12.99
02/08/2024 , Home Depot       , Home & Personal Care         , 140
03/08/2024 , Dunkin' Donuts   , Food & Beverage              , 6.0
04/08/2024 , Airbnb           , Travel & Transportation      , 140
05/08/2024 , Apple Store      , Retail & Shopping            , 1100.00
06/08/2024 , Costco           , Home & Personal Care         , 190
07/08/2024 , Subway           , Food & Beverage              , 10.0
08/08/2024 , CVS              , Home & Personal Care         , 35.0
09/08/2024 , Sephora          , Home & Personal Care         , 45.0
10/08/2024 , Petco            , Home & Personal Care         , 60.0
01/09/2024 , Panera Bread     , Food & Beverage              , 20.0
